,BBL,XCoord,YCoord,norm_site_eui,norm_source_eui,energy_star,LotArea,BldgArea,NumBldgs,NumFloors,YearBuilt,BuiltFAR,total_ghg
153,1013080033,992684.0,215444.0,64.3,185.7,63.0,9500,140400,1,18.0,1964,14.78,760.8
154,1010287501,989083.0,218342.0,48382.1,58282.0,1.0,34221,729506,1,45.0,1987,21.32,2097196.5
155,1012590001,988999.0,214562.0,,,83.0,48199,615000,1,21.0,1962,12.76,3682.0
156,1019920013,994731.0,234903.0,,,65.0,90734,176878,3,7.0,1926,1.95,1834.1
157,4019370001,1023285.0,208721.0,80.5,133.4,54.0,127000,266316,2,8.0,1989,2.1,681.5
158,1013760036,992738.0,217845.0,115.4,223.3,49.0,24903,268467,1,20.0,1962,10.78,2539.2
159,1013030001,991415.0,214714.0,106.7,253.8,51.0,40166,1039281,1,42.0,1966,25.87,10529.8
160,1008087501,986866.0,212410.0,127.5,206.6,51.0,79000,1213324,1,23.0,1917,15.36,12549.7
161,1012920037,992193.0,216711.0,126.5,292.3,57.0,13375,296915,1,32.0,1972,22.2,3131.6
162,1013087502,992138.0,215804.0,,,72.0,81325,1526121,1,39.0,1969,18.77,12509.9
163,1000167517,979547.0,196847.0,95.1,130.6,69.0,35352,411519,1,33.0,2006,11.64,2513.8
164,1000160185,979964.0,200239.0,89.9,151.5,27.0,14451,278142,1,24.0,2004,19.25,1676.8
165,1000160180,979777.0,200344.0,107.9,181.2,8.0,16653,356786,1,27.0,2002,21.42,2456.7
166,1008260001,986530.0,210233.0,96.6,174.9,23.0,25181,296400,1,29.0,1999,11.77,1800.7
167,1002160001,981211.0,202008.0,349.8,1068.1,,90004,760000,1,9.0,1987,8.44,22093.4
168,5024000375,937913.0,150518.0,40.5,104.8,90.0,627049,190491,1,2.0,1975,0.3,639.2
169,3051330014,996520.0,174441.0,65.2,141.8,72.0,126877,175875,1,3.0,1932,1.39,893.9
170,1012910051,991818.0,216596.0,59.0,137.2,89.0,20425,369787,1,33.0,1962,18.1,2257.3
171,1010680001,987882.0,219698.0,227.8,484.7,36.0,100959,1104505,1,16.0,1992,10.94,14751.1
172,1018660001,994897.0,232524.0,116.7,280.1,97.0,64954,333122,7,9.0,1954,5.13,10919.9
